Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
3;Cupido comyntas;-1.05;2.204081633;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.608;40.125;12;Multivoltine
3;Epargyreus clarus;-4.73;1.658163265;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.001;40.125;12;Univoltine
3;Erynnis baptisiae;-0.707;4.687244898;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.886;40.125;12;Multivoltine
3;Limenitis archippus;5.5;1.87244898;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.008;40.125;12;Multivoltine
3;Megisto cymela;-1.53;0.620918367;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.018;40.125;12;Univoltine
3;Papilio glaucus;-4.3;1.418367347;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.001;40.125;12;Multivoltine
3;Papilio troilus;-1.4;2.020408163;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.518;40.125;12;Multivoltine
3;Phyciodes tharos;-0.487;1.120918367;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.692;40.125;12;Multivoltine
3;Pieris rapae;4.06;1.020408163;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.001;40.125;12;Multivoltine
3;Polites peckius;5.78;1.821428571;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.002;40.125;12;Multivoltine
3;Speyeria cybele;-2.77;6.183673469;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.001;40.125;12;Univoltine
3;Thymelicus lineola;-2.62;0.668367347;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.048;40.125;12;Univoltine
3;Vanessa atalanta;-0.911;1.490306122;;83;83;USA (Ohio);Appearance Mean First;Spatial;1996-2008;0.564;40.125;12;Multivoltine
6;Pieris rapae;-0.203;0.03;;52;52;Spain;Appearance Mean First;Temporal;1952-2004;0.001;39.875;52;Multivoltine
11;Callophrys augustinus;-5.35;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0001;42.375;23;
11;Callophrys henrici;-4.2;1.2;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0033;42.375;23;Univoltine
11;Callophrys irus;-4.43;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0024;42.375;23;
11;Callophrys niphon;-5.64;0.61;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0001;42.375;23;Multivoltine
11;Satyrium acadicum;-3.04;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0353;42.375;23;
11;Satyrium calanus;-3.54;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0001;42.375;23;
11;Satyrium edwardsii;-1.41;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0576;42.375;23;
11;Satyrium liparops;-3.42;0.62;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1895-2009;0.0001;42.375;114;Univoltine
11;Satyrium titus;-1.63;;23;;23;USA(Massachusetts);Observed 20% first appearances ;Temporal;1986-2009;0.0026;42.375;23;
16;Thymelicus sylvestris;-6.41;0.852040816;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Hesperia comma;-4.35;3.821428571;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Ochlodes sylvanus;-6.76;0.632653061;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Erynnis tages;-5.68;0.5;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
16;Pyrgus malvae;-6;0.729591837;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Multivoltine
16;Anthocharis cardamines;-7.21;0.571428571;37;;37;Britain;Appearance Mean First;Temporal;1975-2012;;54;37;Univoltine
