Study Ref;Taxon;Effect size (day/degree increase);Precision (SE);Sample size (Years);Sample Size (Sites);SamplesTotal;(Country);Moderator 3 (phenological measure);Moderator 4 (Analysis type);(Years);p-value;Moderator(Latitude);Moderator(Years);Moderator(Voltinism)
48;Satyrium w-album;−3.18;;18;;18;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Thecla betulae;−6.91;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Issoria lathonia;0.46;;18;;18;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Brenthis ino;−2.82;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Argynnis paphia;−3.78;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Argynnis aglaja;−3.11;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Argynnis adippe;−3.54;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Argynnis niobe;−8.03;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Boloria selene;−4.05;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Boloria euphrosyne;−6.76;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Boloria eunomia;−11.07;;14;;14;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Boloria aquionaris;−3.09;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Araschnia levana;−4.59;;13;;13;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Vanessa atalanta;−4.29;;18;;18;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Cynthia cardui;−1.38;;16;;16;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Inachis io;−1.06;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Nymphalis antiopa;3.76;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Aglais urticae;2.47;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Polygonia c-album;−1.04;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Euphydryas aurina;−2.22;;15;;15;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Melitaea cinxia;−7.47;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Melitaea diamina;−5.52;;17;;17;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Melitaea athalia;−4.07;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Limenitis populi;−5.81;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Pararge aegeria;−4.76;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Coenonympha arcania;−2.07;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Coenonympha pamphilus;−0.27;;18;;18;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Coenonympha tullia;−3.64;;18;;18;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Lasiommata maera;−4.82;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Lasiommata petropolitana;−4.46;;19;;19;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Lasiommata megera;−1.58;;15;;15;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Maniola jurtina;−3.78;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Aphantopus hyperantus;−2.18;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;0.05;;;
48;Erebia ligea;−1.5;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
48;Hipparchia semele;−1.8;;20;;20;Sweden;Appearance Mean First;Temporal;1991-2010;;;;
